,period,PAPR_NONOPEC,PAPR_OPEC,PATC_OECD,PATC_NON_OECD,COPRPUS,CORIPUS,PASC_OECD_T3,COPS_OPEC,COPC_OPEC,T3_STCHANGE_OOECD,T3_STCHANGE_NOECD,WTISPLC,Global Inflation,U.S. Unemployment,U.S. Interest Rate,EU Unemployment,EU Interest Rate,Current Account Balance,"Gross Domestic Product, Current Prices",Political Stability Index IRN,Political Stability Index IRQ,Political Stability Index KWT,Political Stability Index QAT,Political Stability Index SAU,Political Stability Index ARE,Political Stability Index USA,Political Stability Index RUS,Political Stability Index CAN,Political Stability Index CHN,Political Stability Index MEX,Political Stability Index VEN,Political Stability Index BRA,Political Stability Index NGA,Political Stability Index NLD,Political Stability Index NOR,Political Stability Index KAZ,Political Stability Index AGO,Political Stability Index DZA,Political Stability Index COL,Political Stability Index GAB,Political Stability Index OMN,Political Stability Index EGY,Political Stability Index GNQ,Political Stability Index LBR,Political Stability Index LBN,Political Stability Index LCA,Political Stability Index LBY,Political Stability Index MYS,Political Stability Index SYR,Political Stability Index SDN,Political Stability Index TKM,Political Stability Index TTO,Political Stability Index TUN,Political Stability Index UZB,Political Stability Index YEM
0,2000-01-01,47.66209299,28.00819327,47.22677204,28.2861224,5.784376,13.779,2709.462514,5.98410088,31.236635,0.03640841,0.4660540715,27.18,227.842,4.0,5.45,9.2,3.0429,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
1,2000-02-01,47.58221689,28.67119278,50.22934147,28.77067875,5.851839,14.028,2709.462514,5.321119362,31.236635,0.03640841,0.4660540715,29.35,227.842,4.1,5.73,9.03333333333333,3.2757,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
2,2000-03-01,47.69697451,28.60559919,49.35808267,28.52854726,5.918207,14.613,2709.462514,5.387852955,31.236635,0.03640841,0.4660540715,29.89,171.0,4.0,5.85,9.03333333333333,3.5104,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
3,2000-04-01,56.52659539,29.55248328,46.28674929,43.57895626,5.854166,15.053,2709.462514,4.469956978,31.236635,0.03640841,0.4660540715,25.74,170.9,3.8,6.02,9.06666666666667,3.685,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
4,2000-05-01,47.38366999,30.08168659,47.33879473,28.21686192,5.84651,15.494,2709.462514,3.948044202,31.236635,0.03640841,0.4660540715,28.78,171.2,4.0,1.03,9.03333333333333,3.92,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
5,2000-06-01,47.52784973,29.68774297,47.95582029,28.27099486,5.822882,15.643,2709.462514,4.347255348,31.236635,0.03640841,0.4660540715,31.83,172.2,4.0,6.53,9.03333333333333,4.2945,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
6,2000-07-01,47.7949706,29.97310876,47.249841,28.53820768,5.739362,15.819,2709.462514,4.078323612,31.236635,0.03640841,0.4660540715,29.77,172.7,4.0,1.03,8.93333333333333,4.3086,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
7,2000-08-01,47.69108212,30.97738236,49.83134111,28.70211387,5.788734,15.64,2709.462514,3.117776189,31.236635,0.03640841,0.4660540715,31.22,172.7,4.1,6.5,9.03333333333333,4.4191,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
8,2000-09-01,47.87359814,30.99052899,48.92892743,28.84851143,5.757695,15.407,2709.462514,3.125143139,31.236635,0.03640841,0.4660540715,33.88,173.6,3.9,6.52,9.03333333333333,4.5905,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
9,2000-10-01,47.96152442,31.2673547,48.37708405,28.58330704,5.80903,15.029,2709.462514,2.836616955,31.236635,0.03640841,0.4660540715,33.08,173.9,3.9,6.51,8.76666666666667,4.7627,-155.677,34097.943,-0.727548360824585,-1.73264276981354,0.752232670783997,1.15730142593384,0.227821603417397,0.975434422492981,1.08280909061432,-1.39924204349518,1.16752684116364,-0.20991687476635,-0.200209870934486,-0.758916974067688,0.18410162627697,-1.45532631874084,1.75868117809296,1.533282995224,0.0900903418660164,-2.03817391395569,-1.43257737159729,-1.60896074771881,0.640210628509521,1.12142467498779,0.0497975237667561,-0.0350389443337917,-1.95288050174713,-0.439044535160065,1.22359979152679,-0.294286817312241,0.0926911979913712,-0.180450946092606,-2.24417304992676,0.0084470622241497,0.153456091880798,0.321114897727966,-1.30195045471191,-1.14544129371643
